ประเภทของร้านค้า,ราคาขายเฉลี่ยต่อแก้ว (บาท)  / กรอกตัวเลข,ปริมาณที่ขายได้ต่อแก้วในแต่ละวัน / กรอกตัวเลข  *,ลักษณะการซื้อไซรัปของท่าน เป็นแบบใด,ช่วงราคาไซรัปเฉลี่ยต่อขวดที่เหมาะสมอยู่ที่ช่วงใด / ให้เลือก 2 ข้อ ต่ำสุด และราคาสูงสุด หากเลือกอื่นๆ ให้ระบุเป็นตัวเลข,ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [รสชาติ],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [กลิ่น],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ราคา],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ขนาดและปริมาณต่อขวด],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความแข็งแรงของขวด],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความเข้มข้น],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [สี],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความสะดวกในการใช้ เช่น เท ปั้ม ],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความสะดวกในการตวง วัด],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [การบอกขั้นตอนการใช้งาน],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [การให้ข้อมูลผลิตภัณฑ์ เช่นส่วนผสม],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [จำนวนวันหมดอายุ],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความสวยงามของขวด],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [การออกแบบกลิ่น/รสใหม่ๆ],ร้านค้าออนไลน์ร้านใดที่ท่านซื้อไซรัป /ตอบได้หลายข้อ_ทางร้าน,ร้านค้าออนไลน์ร้านใดที่ท่านซื้อไซรัป /ตอบได้หลายข้อ_Shopee,ร้านค้าออนไลน์ร้านใดที่ท่านซื้อไซรัป /ตอบได้หลายข้อ_Lazada,ร้านค้าออนไลน์ร้านใดที่ท่านซื้อไซรัป /ตอบได้หลายข้อ_Big C online,ร้านค้าออนไลน์ร้านใดที่ท่านซื้อไซรัป /ตอบได้หลายข้อ_ติ๊กต๊อก,ร้านค้าออนไลน์ร้านใดที่ท่านซื้อไซรัป /ตอบได้หลายข้อ_Makro online,ร้านค้าออนไลน์ร้านใดที่ท่านซื้อไซรัป /ตอบได้หลายข้อ_สั่งกับเซลล์,ร้านค้าออนไลน์ร้านใดที่ท่านซื้อไซรัป /ตอบได้หลายข้อ_ร้านค้าทั่วไป,ร้านค้าออนไลน์ร้านใดที่ท่านซื้อไซรัป /ตอบได้หลายข้อ_Espresso man,ร้านค้าออนไลน์ร้านใดที่ท่านซื้อไซรัป /ตอบได้หลายข้อ_ซื้อมางแบน,ร้านค้าออนไลน์ร้านใดที่ท่านซื้อไซรัป /ตอบได้หลายข้อ_ร้านขายส่ง,ร้านค้าออฟไลน์ร้านใดที่ท่านซื้อไซรัป / ตอบได้หลายข้อ_ทางแบรนด์,ร้านค้าออฟไลน์ร้านใดที่ท่านซื้อไซรัป / ตอบได้หลายข้อ_Go wholesale,ร้านค้าออฟไลน์ร้านใดที่ท่านซื้อไซรัป / ตอบได้หลายข้อ_7-11,ร้านค้าออฟไลน์ร้านใดที่ท่านซื้อไซรัป / ตอบได้หลายข้อ_Big C,ร้านค้าออฟไลน์ร้านใดที่ท่านซื้อไซรัป / ตอบได้หลายข้อ_Lotus,ร้านค้าออฟไลน์ร้านใดที่ท่านซื้อไซรัป / ตอบได้หลายข้อ_ทำเอง,ร้านค้าออฟไลน์ร้านใดที่ท่านซื้อไซรัป / ตอบได้หลายข้อ_ร้านขายของชำ,ร้านค้าออฟไลน์ร้านใดที่ท่านซื้อไซรัป / ตอบได้หลายข้อ_ร้านขายอุปกรณ์เบเกอรี่,ร้านค้าออฟไลน์ร้านใดที่ท่านซื้อไซรัป / ตอบได้หลายข้อ_สั่งกับเซลล์,ร้านค้าออฟไลน์ร้านใดที่ท่านซื้อไซรัป / ตอบได้หลายข้อ_Makro,ร้านค้าออฟไลน์ร้านใดที่ท่านซื้อไซรัป / ตอบได้หลายข้อ_CJ,เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ_ส่งฟรี,เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ_คุ้นเคยกับร้านค้า,เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ_มาส่งถึงที่,เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ_เปรียบเทียบราคา,เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ_ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม,เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ_โปรโมทชั่น (ลด แจก แถม),เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ_ราคาถูก,เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ_มีสินค้าให้เลือก,เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ_ไม่ต้องเดินทาง (Online),เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ_ทางร้านมาส่งให้ถึงที่,เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ_ซื้อก่อน จ่ายทีหลังได้,เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ_เดินทางสะดวกร้านใกล้บ้าน,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_PC (พนักงานขาย),อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_เป็นที่นิยม,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_ทดลองชิม,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_ลูกค้า (ปากต่อปาก),อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_โฆษณาทาง social media  Facebook or TikTok or IG,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_บรรจุภัณฑ์สวย,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_พรีเซนเตอร์,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_อื่นๆ,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_ป้ายโฆษณา,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_ราคาถูก,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_โฆษณาทาง TV,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_คุณภาพและรสชาติ,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_อินฟลูเอนเซอร์,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_ใช้มานานแล้ว,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ_หาซื้อง่าย,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_เฮลบูบอย,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_ลองบีช,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_แกลลอน,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_อิมพีเรียล,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_Nature taste,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_เฮลโหล,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_เฟรชชี่,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_Mornington,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_ลิน,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_ควีน,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_Senorita,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_ตรากระต่าย,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_ทำเอง,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_ลิน มิตรผล,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_อื่นๆ,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_มิตรผล,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_Monin,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ_ติ่งฟง,หากมีพรีเซนเตอร์เป็น LGBTQ คุณอยากให้เป็นคนกลุ่มไหน_G : Gay  ผู้ชายที่รักผู้ชายด้วยกัน,หากมีพรีเซนเตอร์เป็น LGBTQ คุณอยากให้เป็นคนกลุ่มไหน_L : Lesbian – ผู้หญิงที่รักผู้หญิงด้วยกัน,หากมีพรีเซนเตอร์เป็น LGBTQ คุณอยากให้เป็นคนกลุ่มไหน_T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,หากมีพรีเซนเตอร์เป็น LGBTQ คุณอยากให้เป็นคนกลุ่มไหน_B : Bisexual  คนที่รักได้ทั้งชายและหญิง,หากมีพรีเซนเตอร์เป็น LGBTQ คุณอยากให้เป็นคนกลุ่มไหน_ไม่มีความคิดเห็น
1,39.0,175.0,1,66.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,30.88,47.5,1,80.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,30.88,35.0,1,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,32.5,10.0,1,75.0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,32.5,20.0,1,60.0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,27.5,10.0,1,70.0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,26.5,200.0,0,57.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,37.5,10.0,1,60.0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,27.5,15.0,1,60.0,0,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,22.5,10.0,1,60.0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,40.0,20.0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,25.0,20.0,1,80.0,0,0,-1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,30.0,10.0,1,50.0,0,0,-1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,23.0,10.0,0,60.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,25.0,10.0,1,50.0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,25.0,10.0,1,70.0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,30.0,10.0,1,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,37.5,5.0,1,65.0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,45.0,10.0,1,60.0,0,0,-1,0,0,0,0,1,-1,-1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,19.0,20.0,1,60.0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,25.0,10.0,1,60.0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,85.0,200.0,1,350.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,27.5,15.0,1,50.0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,25.0,5.0,1,65.0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,40.0,10.0,1,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
